"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Ireland (IE)","01.01.2019 00:00 - 01.01.2019 00:30 (CET/CEST)","n/e","n/e","n/e","675","0","40","n/e","169","n/e","21","","147","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","671"
"Ireland (IE)","01.01.2019 00:30 - 01.01.2019 01:00 (CET/CEST)","n/e","n/e","n/e","837","0","36","n/e","169","n/e","12","","144","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","660"
"Ireland (IE)","01.01.2019 01:00 - 01.01.2019 01:30 (CET/CEST)","n/e","n/e","n/e","979","0","35","n/e","170","n/e","0","","129","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","604"
"Ireland (IE)","01.01.2019 01:30 - 01.01.2019 02:00 (CET/CEST)","n/e","n/e","n/e","1020","0","35","n/e","219","n/e","0","","129","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","582"
"Ireland (IE)","01.01.2019 02:00 - 01.01.2019 02:30 (CET/CEST)","n/e","n/e","n/e","808","0","28","n/e","225","n/e","0","","128","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","618"
"Ireland (IE)","01.01.2019 02:30 - 01.01.2019 03:00 (CET/CEST)","n/e","n/e","n/e","692","0","35","n/e","226","n/e","0","","124","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","610"
"Ireland (IE)","01.01.2019 03:00 - 01.01.2019 03:30 (CET/CEST)","n/e","n/e","n/e","616","0","35","n/e","225","n/e","0","","123","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","516"
"Ireland (IE)","01.01.2019 03:30 - 01.01.2019 04:00 (CET/CEST)","n/e","n/e","n/e","481","0","35","n/e","212","n/e","0","","119","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","510"
"Ireland (IE)","01.01.2019 04:00 - 01.01.2019 04:30 (CET/CEST)","n/e","n/e","n/e","452","0","36","n/e","191","n/e","0","","124","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","491"
"Ireland (IE)","01.01.2019 04:30 - 01.01.2019 05:00 (CET/CEST)","n/e","n/e","n/e","469","0","34","n/e","209","n/e","0","","124","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","432"
"Ireland (IE)","01.01.2019 05:00 - 01.01.2019 05:30 (CET/CEST)","n/e","n/e","n/e","458","0","36","n/e","197","n/e","0","","124","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","397"
"Ireland (IE)","01.01.2019 05:30 - 01.01.2019 06:00 (CET/CEST)","n/e","n/e","n/e","473","0","34","n/e","206","n/e","0","","125","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","340"
"Ireland (IE)","01.01.2019 06:00 - 01.01.2019 06:30 (CET/CEST)","n/e","n/e","n/e","496","0","36","n/e","202","n/e","0","","126","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","302"
"Ireland (IE)","01.01.2019 06:30 - 01.01.2019 07:00 (CET/CEST)","n/e","n/e","n/e","488","0","33","n/e","202","n/e","0","","125","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","293"
